Timestamp,Source,LicensePlate
2025-06-07 00:13:59,image,EuwAf
2025-06-07 00:16:56,image,WASHINGTON
2025-06-07 00:20:00,image,Nothing Could BeFiner
2025-06-07 00:21:05,image,CXhtooN 
2025-06-07 00:21:21,image,CXhtooN 
2025-06-07 00:21:27,image,CXhtooN 
2025-06-07 00:26:11,image,4049KUWAIT2016390
2025-06-07 00:26:47,image,WASHINGTON9I413SUAEVERGAEENSTATE
2025-06-07 00:27:10,image,No text found
2025-06-07 00:27:20,image,NOTHINGCOULDBEFINERLTI25107SOUFHCAROLINA6914LU125
2025-06-07 00:34:40,image,LTI 07 Nothing Could BeFiner Soufh Carolina 251 6914 Lu125]
2025-06-07 00:34:58,image,KUWAIT 4049' 20:16390
2025-06-07 00:35:17,image,413.SUA WASHINGTON EverGaEEN STATE 9I@
2025-06-07 00:35:35,image,No text found
2025-06-07 01:12:28,webcam,4e U; M
2025-06-07 01:12:29,webcam,21 BH 2345 AA
2025-06-07 01:12:29,webcam,21 BH 2345 AA
2025-06-07 01:12:29,webcam,21 Br 2346 AA
2025-06-07 01:12:30,webcam,No text found
2025-06-07 01:12:30,webcam,AA
2025-06-07 01:12:30,webcam,No text found
2025-06-07 01:12:31,webcam,No text found
2025-06-07 01:12:31,webcam,31 BH 3J45AA
2025-06-07 01:12:31,webcam,No text found
2025-06-07 01:12:32,webcam,No text found
2025-06-07 01:12:32,webcam,21 BH 2345 AA
2025-06-07 01:12:32,webcam,21 BH 2345 AA
2025-06-07 01:12:33,webcam,21 BH 2345 AA
2025-06-07 01:12:33,webcam,21 BH 2345 AA
2025-06-07 01:12:33,webcam,21 BH 2345 AA
2025-06-07 01:12:33,webcam,21 BH 2345 AA
2025-06-07 01:12:34,webcam,21 BH 2345 AA
2025-06-07 01:12:34,webcam,21 BH 2345 AA
2025-06-07 01:12:34,webcam,21 BH 2345 AA
2025-06-07 01:12:35,webcam,21 BH 2345 AA
2025-06-07 01:12:35,webcam,21 BH 2345 AA
2025-06-07 01:12:35,webcam,21 BH 2345 AA
2025-06-07 01:12:36,webcam,21 BH 2345 AA
2025-06-07 01:12:36,webcam,21 BH 2345 AA
2025-06-07 01:12:36,webcam,21 BH 2345 AA
2025-06-07 01:12:36,webcam,21 BH 2345 AA
2025-06-07 01:12:37,webcam,21 BH 2345 AA
2025-06-07 01:12:37,webcam,JmzM
2025-06-07 01:12:37,webcam,21 BH 2345 AA
2025-06-07 01:12:38,webcam,21 BH 2345 AA
2025-06-07 01:12:38,webcam,24 BH 2845 AA
2025-06-07 01:12:38,webcam,21 BH 2345AA
2025-06-07 01:12:38,webcam,21 BH 2345 AA
2025-06-07 01:12:39,webcam,21 BH 2345 AA
2025-06-07 01:12:39,webcam,21 BH 2345 AA
2025-06-07 01:12:39,webcam,d
2025-06-07 01:12:39,webcam,21 BH 2345 AA
2025-06-07 01:12:40,webcam,21 BH 2345 AA
2025-06-07 01:12:40,webcam,21 BH 2345 AA
2025-06-07 01:12:40,webcam,21 BH 2345 AA
2025-06-07 01:12:41,webcam,21 BH 2345 AA
2025-06-07 01:12:41,webcam,21 BH 2345 AA
2025-06-07 01:12:41,webcam,21 BH 2345 AA
2025-06-07 01:12:42,webcam,21 BH 2345 AA
2025-06-07 01:12:42,webcam,21 BH 2345 AA
2025-06-07 01:12:42,webcam,21 BH 2345 AA
2025-06-07 01:12:43,webcam,21 BH 2345 AA
2025-06-07 01:12:43,webcam,21 BH24AA
2025-06-07 01:12:43,webcam,21 BH 2345 AA
2025-06-07 01:12:43,webcam,21 BH 2345 AA
2025-06-07 01:12:44,webcam,21 BH 2345 AA
2025-06-07 01:12:44,webcam,21 BH 2345 AA
2025-06-07 01:12:44,webcam,21 BH 2345 AA
2025-06-07 01:12:45,webcam,21 BH 2345 AA
2025-06-07 01:12:45,webcam,21 BH 2345 AA
2025-06-07 01:12:45,webcam,21 BH 2345 AA
2025-06-07 01:12:46,webcam,21 BH 2345AA
2025-06-07 01:12:46,webcam,21 BH 2345 AA
2025-06-07 01:12:46,webcam,21 BH 2345 AA
2025-06-07 01:12:47,webcam,21 BH 2345 AA
2025-06-07 01:12:47,webcam,No text found
2025-06-07 01:12:47,webcam,No text found
2025-06-07 01:13:37,webcam,No text found
2025-06-07 01:13:37,webcam,No text found
2025-06-07 01:13:38,webcam,No text found
2025-06-07 01:13:38,webcam,No text found
2025-06-07 01:13:38,webcam,22 AMonn
2025-06-07 01:13:39,webcam,OMimd
2025-06-07 01:13:39,webcam,9C
2025-06-07 01:13:45,webcam,No text found
2025-06-07 01:13:45,webcam,No text found
2025-06-07 01:13:45,webcam,No text found
2025-06-07 01:13:46,webcam,No text found
2025-06-07 01:13:46,webcam,No text found
2025-06-07 01:13:46,webcam,No text found
2025-06-07 01:13:47,webcam,22 BH 76404
2025-06-07 01:13:47,webcam,No text found
2025-06-07 01:13:47,webcam,No text found
2025-06-07 01:13:47,webcam,No text found
2025-06-07 01:13:47,webcam,No text found
